ID,"pre_After reading the participant information on Quercus, please select one of the following:",pre_Are you a first-year student?,pre_Are you an international student?,pre_Is English your first language?,pre_Please tick all that apply. You are:,pre_What first-year calculus course have you taken or are you currently taking?,pre_Have you taken or are you taking a first-year programming course?,pre_In what statistics program of study have you enrolled or would you like to enrol in (select your first choice)?,pre_How would you describe your professional writing ability?,pre_What is your experience with programming?,pre_What is your experience with the Python programming language?,pre_How do you evaluate your skill level at Python programming?,"pre_How effectively do you feel you can perform statistical data analysis with Python?
",pre_Which of the following statements best describe your feelings about the use of Python for STA130? Select all that apply.,pre_Which of the following statements best describe your feelings about learning to code in Python in STA130? Select all that apply.,"pre_Which of the following statements best describes your feelings about learning to code in general? 
",pre_participation_indicator,post_Approximately how many total hours per week on average did you spend on STA130 this semester?,post_Approximately how many total hours per week on average did you spend completing STA130 assignments (not counting general studying or attending or reviewing class meetings)?,post_Which of the following did you routinely utilize and find helpful in supporting your ability to learn Python as part of STA130? (You may select more than one),"post_Which of the following did you find to be the MOST helpful and supportive in terms of performing well in STA130 overall? (You may select more than one)
","post_Which aspects of STA130 do you think were the LEAST helpful and supportive for student success in the class? (You may select more than one)
",post_How do you evaluate your skill level at Python programming?,post_How successful were you in learning Python this semester?,post_How much has your skill at Python programming increased since the beginning of the semester?,"post_Which of the following statements best describes your feelings about learning to code in general?
","post_Which of the following statements best describes your assessment of the amount of resources available in STA130 to support your ability to learn to code in Python?
",post_Has STA130 jump-started and fostered your ability to learn python?,"post_Is it helpful to have previous experience with computer programming or simultaneously take a computer programming course to do well in STA130?
",post_Did you enjoy learning statistical and data science concepts based on first introducing them through Python?,"post_Through your experience with the course project and other course (or non-course) activities, how effectively do you feel you can perform statistical data analysis with Python?",post_How much do you feel your skill at performing statistical data analysis with Python has improved since the beginning of the semester?,post_How strong is your sense of community and belonging here at UofT?,post_How strong is your sense of community and belonging in STA130?,post_How helpful has STA130 been in helping you develop a sense of community and belonging at UofT?,"post_What aspects of the STA130 course contributed to and supported developing a sense of community and belonging here at UofT? (You may select more than one)
",post_How would you describe your professional writing ability?,post_How helpful were the weekly writing assignments (in the Weekly Homeworks and Tutorial Activities and Assignments) for the development of your professional writing ability?,post_How helpful was the course project and related activities and assignments in giving you an opportunity to apply your communication skills?,"post_What aspects of the course contributed MOST to the development of your professional writing ability? (You may select more than one)
","post_Describe the purpose of statistical inference (for example, testing and confidence intervals)","post_Applying statistical methods for description, prediction and inference",post_Visualizing data,post_Use simulation to solve a variety of problems with data,"post_Manipulating and ""wrangling"" data",post_Using Python for data analysis,post_Communicating in writing to both statisticians and non-statisticians,post_Communicating orally to both statisticians and non-statisticians,post_Translating practical problems into statistical terms and vice versa,post_Describing how ethical practice is important in statistical work,post_Using statistical knowledge to solve problems in other disciplines,post_Understanding statistical analysis as a problem-solving process (i.e. from study design through data exploration and analysis through communication of results),post_Evaluating strengths and limitations of solutions to statistical problems,post_What was the most interesting part of this course?,post_What would you add or what would you change about the course?
1,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Excellent,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;",I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Poor,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,"I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;",I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;,I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very effectively,"I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;I wish I did not have to learn Python, I don't really want to;",I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that it will be very hard to learn Python;,I need access to some guidance and support to help me as I start to learn to code,TRUE,More than 15 hours,Between 4 to 6 hours ,Corequisite CSC Requirements;Weekly homework;,"Self-Learning (using online resources, etc.);",The Course Project;,Beginner,Somewhat successful ,Substantially,"I can learn to code on my own, and plan to figure things out myself","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat unhelpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Substantially,Neutral,Somewhat not strong,Moderately helpful,Monday In-Person Class Lectures;Tutoring (or other paid services);,Very good,Very helpful,Very helpful,Corequisite CSC Requirements;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Not very well,Linear regression,data analysis ability
4,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Actuarial Science Specialist,Very good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Between 2 of 4 hours,"Self-Learning (using online resources, etc.);","Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);","Corequisite CSC Requirements;Monday In-Person Class Lectures;Monday Class Coding Notebooks;""Coding"" Office Hours;OCCS Class Lecture Recordings;""General"" Office Hours;""Piazza"" Discussion Board;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Activities;Tutorial Assignments;The Course Project;",Intermediate,Somewhat unsuccessful,Minimally,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code","Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","No, STA130 was not at all been helpful for learning Python",Very helpful,It didn't really seem to matter to me that course topics were introduced with Python,Somewhat ineffectively,Minimally,Somewhat strong,Extremely not strong,Not at all helpful,"The STA130 Mentorship Program;Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);",Adequate,Not at all helpful,Not at all helpful,"Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);",Not very well,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,I don't know,Not at all,Not at all,I don't know,meeting new people,one-on-one full-time available support for each student at a moment's notice
5,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"White;West Asian/Middle Eastern (e.g. Iranian, Afghan, Syrian);",MAT137,CSC148,Data Science Specialist,Very good,I have used a programming language in a class or some other context for more than two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Advanced,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, and plan to figure things out myself",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC110,Statistics Minor,Very good,I have used a programming language in a class or some other context for more than two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Intermediate,Very effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, and plan to figure things out myself",TRUE,Between 8 to 12 hours,Between 4 to 6 hours ,Corequisite CSC Requirements;,Corequisite CSC Requirements;,"""Piazza"" Discussion Board;",Intermediate,Very successful ,Tremendously,"I can learn to code on my own, and plan to figure things out myself","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Very helpful,"Yes, I liked having course topics introduced using Python",Very effectively,Tremendously,Extremely strong,Extremely strong,Extremely helpful,The STA130 Mentorship Program;Corequisite CSC Requirements;,Excellent,Extremely helpful,Extremely helpful,The STA130 Mentorship Program;,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,The coding lecture part of the course is the most interesting part. ,This course is perfect in my opinion. 
7,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,"I wish I did not have to learn Python, I don't really want to;I don't think programming should be a part of a statistics course;",I am concerned that it will be very hard to learn Python;I am concerned that I might not be able to learn to program in Python on my own;I am concerned that the course might not provide enough support to help me learn Python;,I need access to some guidance and support to help me as I start to learn to code,TRUE,More than 15 hours,More than 6 hours,"""Coding"" Office Hours;","""Coding"" Office Hours;",Monday In-Person Class Lectures;,Beginner,Somewhat unsuccessful,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Nonexistant, I essentially had to try to learn to code in Python on my own","No, STA130 was not at all been helpful for learning Python",Somewhat unhelpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Moderately,Extremely strong,Neutral,Moderately helpful,Corequisite CSC Requirements;,Good,Slightly helpful,Moderately helpful,Monday Class Coding Notebooks;,Neutral,Not very well,Not at all,Not very well,Reasonably well,Not very well,Reasonably well,Not at all,Reasonably well,Not very well,Not very well,I don't know,Neutral,everything ,nothing 
8,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"West Asian/Middle Eastern (e.g. Iranian, Afghan, Syrian);",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that the course might not provide enough support to help me learn Python;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Between 4 to 6 hours ,"""General"" Office Hours;""Piazza"" Discussion Board;Corequisite CSC Requirements;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);","OCCS Class Lecture Recordings;Monday Class Coding Notebooks;""General"" Office Hours;Tutorial Assignments;Self-Learning (using online resources, etc.);Friday In-Person Tutorials ;",Friday Tutorial Presentation Notebooks;The Course Project;,Intermediate,Somewhat successful ,Substantially,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Substantially,Somewhat strong,Neutral,Not at all helpful,Friday In-Person Tutorials ;The STA130 Mentorship Program;,Excellent,Not at all helpful,Not at all helpful,"Self-Learning (using online resources, etc.);",Reasonably well,Reasonably well,Extremely well,Not very well,Reasonably well,Reasonably well,Neutral,Not very well,Reasonably well,Reasonably well,Reasonably well,Extremely well,Neutral,"Personally, I found the course project concept to be quite interesting although the instructions were quite vague in my opinion. I also came to appreciate the professor's approach to teaching concepts through python in the way he did, because although it was challenging to understand both the code and statistical concepts quickly, his approach helped me progress faster. ",I would try to introduce the project more formally. The project notebook is quite overwhelming. I would have appreciated a more detailed introduction to the project itself rather than just the concept behind it. 
9,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Poor,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Less than 2 hours,"Corequisite CSC Requirements;OCCS Class Lecture Recordings;Monday Class Coding Notebooks;""Piazza"" Discussion Board;Weekly homework;The Course Project;","Corequisite CSC Requirements;Monday In-Person Class Lectures;OCCS Class Lecture Recordings;Monday Class Coding Notebooks;""Piazza"" Discussion Board;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Assignments;The Course Project;",Tutorial Activities;,Beginner,Somewhat successful ,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Very helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Tremendously,Neutral,Neutral,Slightly helpful,"Friday In-Person Tutorials ;The Course Project;Classmates (RSGs, study-buddies, etc.);""Piazza"" Discussion Board;",Adequate,Moderately helpful,Very helpful,Tutorial Assignments;The Course Project;,Reasonably well,Neutral,Not very well,Reasonably well,Reasonably well,Reasonably well,Neutral,Neutral,Reasonably well,Not very well,Not very well,Reasonably well,Reasonably well,The most interesting part was the course project.,I would perhaps first explain what some of the concepts are and then use code to perform statistical analysis related to them. 
