section,section_id,section_sis_id,submitted,attempt,"4389717: Orientation Question 01
Which AI ChatBots do you use regularly?",1.0,"4489823: Orientation Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4489822: Orientation Question 02
How much do you rely on AI ChatBots?",1.0,"4389718: Orientation Question 03
Have you ever used ChatBot to help with coding?",1.0,"4421347: Orientation Question 04
Do you think a ChatBot could help support someone doing the kind of statistical and data science analyses taught in STA130?",1.0,"4389719: Orientation Question 05
Do you think a ChatBot could contribute significantly to your learning process and experience in STA130?",1.0,"4389725: Orientation Question 06
What is your main concern about taking STA130?",0.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 03:47:29 UTC,1,"ChatGPT (free tier),Other",0.0,Claude3.5,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Worried about relying too much on chatbots and then failing to master the knowledge in the exam ,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 02:59:54 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Tremendously,0.0,Moderately,0.0,Tremendously,0.0,I am not good at any codes...,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 02:33:20 UTC,1,ChatGPT (free tier),1.0,n/a ,0.0,Minimally,1.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,The learning curve. I need to establish a good coding foundation but the process has been excruciating and rewarding.,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 01:55:23 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Tremendously,0.0,Minimally,1.0,Tremendously,0.0,Tremendously,0.0,Not fully understanding the codes and the logic behind them and being able to apply them in real time when faced with quizzes and tests,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 01:04:22 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,lack of coding knowledge,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 00:28:45 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,No,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,"I’m actually a beginner of python, but during the first lec, we type codes. I need to study on my own of the fundamental python knowledge. It’s a bit hard but I believe I can handle it.

 ",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 00:11:31 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 00:09:50 UTC,1,ChatGPT (free tier),1.0,-,0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Minimally,1.0,"it is kinda a new subject for me, i only took data mgmt in high school and it was relatively hard. So hope i can do this course good",0.0,6,1,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 00:01:15 UTC,1,"ChatGPT (free tier),Other",0.0,Claude,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,No concern,0.0,2,5,0.0
