section,section_id,section_sis_id,submitted,attempt,"4390245: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4390247: Question 02 (Week 05)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4390249: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; and, learning statistical, data science, and Python programming topics and concepts?",1.0,"4390251: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4421457: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4421458: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,More often than not,0.25,"",0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-10-12 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"ChatBots,Other online resources",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping (from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means (from last week)",0.0,4,0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:59:00 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:46:16 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Sometimes,0.25,Hard!😭,0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-10-12 03:39:15 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,ChatBots,0.0,More often than not,0.25,N/A,0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-10-12 01:57:16 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping (from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means (from last week)",0.0,4,0.0,"Course material: homework exercises,ChatBots",0.0,Yes,0.25,"I find using chatbots to be helpful, especially when I do not understand a certain concept. Compared to a textbook or online resources, I can ask the chatbot questions to help clarify areas of uncertainty and test whether my understanding of the material is correct. ",0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-10-12 01:28:21 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.25,N/A,0.0,3,3,1.25
