section,section_id,section_sis_id,submitted,attempt,"4644490: Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4390110: Question 01
Which ChatBot(s) are you recently finding helpful or generally useful for STA130?",1.0,"4390111: Midway Question 02
What are ChatBots helpful for?",1.0,"4628513: Midway Question 05
Which of the following best characterizes your experience with the STA130 Custom NotebookLM ChatBot (STA130NBLMbot)?",1.0,"4390112: Midway Question 03
Which of the following do you think should continue to be a part of (or be added to) STA130?",1.0,"4390113: Midway Question 04
Would you be interested in seeing your preferred ChatBots in other STA courses beyond STA130?",1.0,"4628572: Midway Question 06
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4628721: Midway question 07
Are you worried about the fact that future STA courses are using R instead of Python?",1.0,"4390115: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context (and perhaps beyond).",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"","",ChatGPT (paid subscription),0.0,Coding,1.0,My other chatbot was fine or better for course related things and I prefer to use that instead of the STA130NBLMbot,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:59:00 UTC,1,"","",ChatGPT (paid subscription),0.0,"Coding,Understanding code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam)",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"","","ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam),Helping with writing,Reading and writing communication practice",0.0,"The STA130NBLMbotwas not good for coding,The STA130NBLMbotwas good for many course related questions,The STA130NBLMbot was a valuable tool for preparing for the midterm exam,I plan to use the STA130NBLMbotmore in the second half of the course",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"","","",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:59:00 UTC,1,"","",ChatGPT (free tier),1.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam),Doing well in the course,Helping with writing",0.0,"I have not used the STA130NBLMbot,I plan to use the STA130NBLMbotmore in the second half of the course,My other chatbot was fine or better for course related things and I prefer to use that instead of the STA130NBLMbot",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM,A better Custom ChatBot",0.0,Yes,0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,I think this course has really changed my view of chatbots. ,0.0,2,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"","",ChatGPT (free tier),1.0,"Explaining/Learning statistical concepts,Doing well in the course",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:56:54 UTC,1,"",0.0,Other (specify in the final question later if you wish),0.0,Learning to code,0.0,I plan to use the STA130NBLMbotmore in the second half of the course,0.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:42:01 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Coding,Learning to code,Preparing for exams (such our midterm exam)",0.0,"The STA130NBLMbotwas good for many course related questions,I plan to use the ""podcast"" feature of the STA130NBLMbot as a way to review material in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,A better Custom ChatBot",0.0,Yes,0.0,I rely on ChatBots more than I previously did because of STA130,0.0,Tremendously,0.0,"",0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:39:14 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,Learning to code,0.0,The STA130NBLMbotwas not good for coding,0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'd prefer to have taken an easier R-based version of the course,1.0,Moderately,0.0,"",0.0,4,5,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:12:56 UTC,1,na,0.0,ChatGPT (paid subscription),0.0,Learning to code,0.0,"The STA130NBLMbotwas not good for coding,I plan to use the STA130NBLMbotmore in the second half of the course",0.0,STA130 Custom NotebookLM,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Tremendously,0.0,na,0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:27:42 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts",0.0,The STA130NBLMbotwas good for many course related questions,0.0,"My favourite ""Other"" ChatBot (which you can specify in the final question later if you wish)",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I rely on ChatBots more than I previously did because of STA130",0.0,Moderately,0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:24:18 UTC,1,Chatgpt,0.0,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts",0.0,I have not used the STA130NBLMbot,1.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'd prefer to have taken an easier R-based version of the course,I'm happy to be learning and building the python-oriented skills we're focussed on,I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Minimally,1.0,No.,0.0,5,4,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:13:59 UTC,1,others,0.0,ChatGPT (free tier),1.0,Explaining/Learning statistical concepts,0.0,I plan to use the STA130NBLMbotmore in the second half of the course,0.0,A better Custom ChatBot,0.0,No,1.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Minimally,1.0,"",0.0,5,4,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 02:01:14 UTC,1,none,0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Helping with writing",0.0,The STA130NBLMbot was a valuable tool for preparing for the midterm exam,0.0,"STA130 Custom NotebookLM,A better Custom ChatBot",0.0,Yes,0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,Moderately,0.0,none,0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 01:33:18 UTC,1,"",0.0,ChatGPT (free tier),1.0,Explaining/Learning statistical concepts,0.0,I have not used the STA130NBLMbot,1.0,"My favourite ""Other"" ChatBot (which you can specify in the final question later if you wish)",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,"",0.0,4,5,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 01:17:50 UTC,1,"",0.0,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Coding,Understanding code,Learning to code,Preparing for exams (such our midterm exam),Doing well in the course,Reading and writing communication practice",0.0,"The STA130NBLMbot was a valuable tool for preparing for the midterm exam,I plan to use the STA130NBLMbotmore in the second half of the course,I plan to use the ""podcast"" feature of the STA130NBLMbot as a way to review material in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,Minimally,1.0,"",0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 00:33:51 UTC,1,Na,0.0,ChatGPT (free tier),1.0,Reading and writing communication practice,0.0,The STA130NBLMbotwas good for many course related questions,0.0,STA130 Custom NotebookLM,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Tremendously,0.0,Na,0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 00:24:27 UTC,1,No,0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Doing well in the course,Helping with writing",0.0,"I plan to use the ""podcast"" feature of the STA130NBLMbot as a way to review material in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,"I think there are the syllabus of the course are various, I hope it can be more simple. Like the pre-class survey, I forgot to finish it",0.0,3,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 00:06:59 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Understanding code,Learning to code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam)",0.0,I have not used the STA130NBLMbot,1.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,Moderately,0.0,"",0.0,4,5,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 23:46:45 UTC,1,I did not answer ‘other’.,0.0,ChatGPT (paid subscription),0.0,Coding,1.0,I have not used the STA130NBLMbot,1.0,A better Custom ChatBot,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I rely on ChatBots more than I previously did because of STA130,0.0,Moderately,0.0,Nope,0.0,4,5,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 23:46:33 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,Understanding code,0.0,The STA130NBLMbotwas good for many course related questions,0.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Tremendously,0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 23:26:43 UTC,1,nope,0.0,Microsoft Copilot,0.0,Learning to code,0.0,The STA130NBLMbotwas not good for coding,0.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,nope,0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 22:35:46 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts",0.0,I have not used the STA130NBLMbot,1.0,A better Custom ChatBot,0.0,Yes,0.0,I rely on ChatBots more than I previously did because of STA130,0.0,Minimally,1.0,"",0.0,4,5,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:47:27 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Coding,Understanding code",0.0,I have not used the STA130NBLMbot,1.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT,A better Custom ChatBot",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'd prefer to have taken an easier R-based version of the course,1.0,Moderately,0.0,"",0.0,5,4,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:43:12 UTC,1,no,0.0,ChatGPT (free tier),1.0,None of these,0.0,The STA130NBLMbotwas not good for coding,0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,No,1.0,I'd prefer to have taken an easier R-based version of the course,1.0,Moderately,0.0,no,0.0,6,3,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:34:27 UTC,1,Nah,0.0,"Microsoft Copilot,Other (specify in the final question later if you wish)",0.0,"Coding,Understanding code",0.0,"The STA130NBLMbotwas not good for coding,The STA130NBLMbotwas good for many course related questions",0.0,STA130 Custom NotebookLM,0.0,Yes,0.0,I'd prefer to have taken an easier R-based version of the course,1.0,Minimally,1.0,No comments ,0.0,4,5,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:27:02 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Preparing for exams (such our midterm exam)",0.0,The STA130NBLMbotwas good for many course related questions,0.0,A better Custom ChatBot,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,"",0.0,2,7,0.0
