section,section_id,section_sis_id,submitted,attempt,"4484877: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4649635: Midway Question 06 [but this time multiple selection for the whole time the survey is available which I failed to do initially last time...]
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4484878: Question 02 (Week 09)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484879: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; and, learning statistical, data science, and Python programming topics and concepts?",1.0,"4484880: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4484881: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4484882: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 20:44:18 UTC,1,ChatGPT (free tier),1.0,I rely on ChatBots more than I previously did because of STA130,0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 20:33:17 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,1,1.0,Course material: Lectures and/or tutorials,1.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,nothing,0.0,5,2,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-08 20:03:26 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 19:00:53 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support,I'd prefer to have taken an easier R-based version of the course",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Explaining the assumptions of simple linear regression,Understanding simple linear regression specifications versus indicator variable specification",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,No,0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 16:59:50 UTC,1,ChatGPT (free tier),1.0,I rely on ChatBots more than I previously did because of STA130,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 15:46:10 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association""",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"More often than not,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 15:12:29 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,1,1.0,None of these options,0.0,No,1.0,"",0.0,4,3,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 15:05:07 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"More often than not,Yes",0.0,n/a,0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 14:40:30 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,/,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 14:34:00 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),Microsoft Copilot",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook",0.0,More often than not,0.0,"",0.0,2,5,1.0
