section,section_id,section_sis_id,submitted,attempt,"4484884: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4484885: Question 02 (Project Week 12)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484887: Question 03 (Accuracy)
Did the ChatBot provide helpful guidance and working code?",1.0,"4484888: Question 04 (Troubleshooting)
Is the ChatBot able to fix programming problemsin two or fewer prompts based on code error messages?",1.0,"4484886: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficientlytargetedon the desired information?",1.0,"4484883: Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.
",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:59:00 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,No,1.0,No,1.0,No,0.0,"",0.0,5,1,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:58:40 UTC,1,ChatGPT (paid subscription),0.0,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:31:18 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,nope,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 04:11:53 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using ChatGPT,For the course project",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,N/A,0.0,1,5,0.0
