section,section_id,section_sis_id,submitted,attempt,"4561996: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4603077: Question 02 (Five-Star Rating)
With respect to the course project, rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).",1.0,"4561999: Question 03 (Accuracy)
With respect to the course project, did the ChatBot provide helpful guidance and working code?",1.0,"4562000: Question 04 (Troubleshooting)
With respect to the course project, was the ChatBot able to fix programming problemsin two or fewer prompts based on code error messages?",1.0,"4562001: Question 05 (Focus)
With respect to the course project, was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4562002: Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",0.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 04:59:00 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,4,0.0,Yes,0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 04:59:00 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 04:59:00 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 04:49:36 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,4,0.0,Yes,0.0,Yes,0.0,More often than not,0.0,Thanks,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 04:19:32 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,no,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 03:42:57 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,It was really helpful along with tips given to make the project/code better ,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 03:37:04 UTC,1,ChatGPT(free tier),1.0,3,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 03:11:50 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,N/A,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 03:00:37 UTC,1,ChatGPT (paid subscription),0.0,1,1.0,No,1.0,No,1.0,Sometimes,0.0,nothing,0.0,4,2,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-07 01:53:27 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-07 01:10:23 UTC,1,ChatGPT(free tier),1.0,4,0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,/,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-06 19:58:25 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-06 18:36:09 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,Sometimes,0.0,Sometimes,0.0,"We should not trust chatbot all the time, it might make some mistakes. However, I still recommend students to use chatbot as a helper.",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-06 18:13:10 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,"Sometimes the ChatBots will provide unclear/useless/helpless answers, I have to keep asking it util it gets correct.",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-06 17:43:47 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,Great experience using ChatGPT,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-06 16:51:22 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-06 16:38:46 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Yes,0.0,More often than not,0.0,Sometimes,0.0,No other details,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-06 15:07:21 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,3,0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-06 07:34:56 UTC,1,ChatGPT(free tier),1.0,4,0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,Good overall,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 19:05:05 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 18:08:30 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 07:39:13 UTC,1,STA130 Custom NotebookLM,0.0,2,0.0,Sometimes,0.0,Sometimes,0.0,No,1.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 06:17:04 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Yes,0.0,No,1.0,give us the paid verison of chatgpt subsrcigtion its wayyyyy better for writing tasks. i know you believe theres not a much big difference but idk i truly feel that it has like better memory or something??? with free version sometimes if we divert from our focus the chat must be scrapped theres no going back but the paid version just gets me! also it allows for visualaizaitons of graphs which is cool. and super helpful for course project. idk just a suggestion!,0.0,3,3,2.0
